Jan 19, 2018 4:40:36 AM org.apache.karaf.main.Main launch
INFO: Installing and starting initial bundles
Jan 19, 2018 4:40:36 AM org.apache.karaf.main.Main launch
INFO: All initial bundles installed and set to start
Jan 19, 2018 4:40:36 AM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Trying to lock /opt/opendaylight/lock
Jan 19, 2018 4:40:36 AM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Lock acquired
Jan 19, 2018 4:40:36 AM org.apache.karaf.main.Main$KarafLockCallback lockAquired
INFO: Lock acquired. Setting startlevel to 100
2018-01-19 04:40:37,322 | INFO  | Event Dispatcher | fileinstall                      | 7 - org.apache.felix.fileinstall - 3.5.2 | Creating configuration from org.apache.karaf.features.repos.cfg
	at org.ops4j.pax.web.extender.whiteboard.internal.Activator.start(Activator.java:99)[229:org.ops4j.pax.web.pax-web-extender-whiteboard:3.2.9]
	at org.eclipse.osgi.framework.internal.core.BundleContextImpl$1.run(BundleContextImpl.java:711)
	at java.security.AccessController.doPrivileged(Native Method)[:1.8.0_151]
	at org.eclipse.osgi.framework.internal.core.BundleContextImpl.startActivator(BundleContextImpl.java:702)[org.eclipse.osgi-3.8.2.v20130124-134944.jar:]
	at org.eclipse.osgi.framework.internal.core.BundleContextImpl.start(BundleContextImpl.java:683)[org.eclipse.osgi-3.8.2.v20130124-134944.jar:]
	at org.eclipse.osgi.framework.internal.core.BundleHost.startWorker(BundleHost.java:381)[org.eclipse.osgi-3.8.2.v20130124-134944.jar:]
	at org.eclipse.osgi.framework.internal.core.AbstractBundle.resume(AbstractBundle.java:390)[org.eclipse.osgi-3.8.2.v20130124-134944.jar:]
	at org.eclipse.osgi.framework.internal.core.Framework.resumeBundle(Framework.java:1176)[org.eclipse.osgi-3.8.2.v20130124-134944.jar:]
	at org.eclipse.osgi.framework.internal.core.StartLevelManager.resumeBundles(StartLevelManager.java:559)[org.eclipse.osgi-3.8.2.v20130124-134944.jar:]
	at org.eclipse.osgi.framework.internal.core.StartLevelManager.resumeBundles(StartLevelManager.java:544)[org.eclipse.osgi-3.8.2.v20130124-134944.jar:]
	at org.eclipse.osgi.framework.internal.core.StartLevelManager.incFWSL(StartLevelManager.java:457)[org.eclipse.osgi-3.8.2.v20130124-134944.jar:]
	at org.eclipse.osgi.framework.internal.core.StartLevelManager.doSetStartLevel(StartLevelManager.java:243)[org.eclipse.osgi-3.8.2.v20130124-134944.jar:]
	at org.eclipse.osgi.framework.internal.core.StartLevelManager.dispatchEvent(StartLevelManager.java:438)[org.eclipse.osgi-3.8.2.v20130124-134944.jar:]
	at org.eclipse.osgi.framework.internal.core.StartLevelManager.dispatchEvent(StartLevelManager.java:1)[org.eclipse.osgi-3.8.2.v20130124-134944.jar:]
	at org.eclipse.osgi.framework.eventmgr.EventManager.dispatchEvent(EventManager.java:230)[org.eclipse.osgi-3.8.2.v20130124-134944.jar:]
	at org.eclipse.osgi.framework.eventmgr.EventManager$EventThread.run(EventManager.java:340)[org.eclipse.osgi-3.8.2.v20130124-134944.jar:]
Caused by: java.lang.ClassFormatError: Duplicate interface name in class file Proxy30a1192e_9ec4_453d_bc9f_0198ca1da5f1
	at java.lang.ClassLoader.defineClass1(Native Method)[:1.8.0_151]
	at java.lang.ClassLoader.defineClass(ClassLoader.java:763)[:1.8.0_151]
	at org.apache.aries.proxy.impl.interfaces.ProxyClassLoader.createProxyClass(ProxyClassLoader.java:157)
	... 36 more
2018-01-19 04:40:43,395 | INFO  | pool-7-thread-1  | Server                           | 71 - org.eclipse.jetty.aggregate.jetty-all-server - 8.1.19.v20160209 | jetty-8.1.19.v20160209
2018-01-19 04:40:43,579 | INFO  | pool-7-thread-1  | AbstractConnector                | 71 - org.eclipse.jetty.aggregate.jetty-all-server - 8.1.19.v20160209 | Started SelectChannelConnector@0.0.0.0:8088
2018-01-19 04:40:43,588 | INFO  | pool-7-thread-1  | AbstractConnector                | 71 - org.eclipse.jetty.aggregate.jetty-all-server - 8.1.19.v20160209 | Started SelectChannelConnector@0.0.0.0:8182
2018-01-19 04:40:43,589 | INFO  | pool-7-thread-1  | JettyServerImpl                  | 80 - org.ops4j.pax.web.pax-web-jetty - 3.2.9 | Pax Web available at [0.0.0.0]:[8088]
2018-01-19 04:40:43,589 | INFO  | pool-7-thread-1  | JettyServerImpl                  | 80 - org.ops4j.pax.web.pax-web-jetty - 3.2.9 | Pax Web available at [0.0.0.0]:[8182]
2018-01-19 04:40:43,590 | INFO  | pool-7-thread-1  | JettyServerImpl                  | 80 - org.ops4j.pax.web.pax-web-jetty - 3.2.9 | Pax Web available at [0.0.0.0]:[8181]
2018-01-19 04:40:43,590 | WARN  | pool-7-thread-1  | NIOSocketConnectorWrapper        | 80 - org.ops4j.pax.web.pax-web-jetty - 3.2.9 | Connection on port 8181 cannot be open. Exception:java.net.BindException: Address already in use Reason: Address already in use
2018-01-19 04:40:43,667 | INFO  | Event Dispatcher | ConfigManagerActivator           | 148 - org.opendaylight.controller.config-manager - 0.6.3.SNAPSHOT | Config manager starting...
2018-01-19 04:40:48,602 | INFO  | Event Dispatcher | ConfigManagerActivator           | 148 - org.opendaylight.controller.config-manager - 0.6.3.SNAPSHOT | Config manager start complete
2018-01-19 04:40:48,607 | INFO  | Event Dispatcher | BlueprintBundleTracker           | 194 - org.opendaylight.controller.blueprint - 0.6.3.SNAPSHOT | Starting BlueprintBundleTracker
2018-01-19 04:40:48,637 | INFO  | Event Dispatcher | BlueprintBundleTracker           | 194 - org.opendaylight.controller.blueprint - 0.6.3.SNAPSHOT | Creating blueprint container for bundle org.opendaylight.controller.sal-schema-service_1.5.3.SNAPSHOT [184] with paths [bundleentry://184.fwk1032986144/org/opendaylight/blueprint/sal-schema-service.xml]
2018-01-19 04:40:48,659 | INFO  | Event Dispatcher | BlueprintContainerImpl           | 15 - org.apache.aries.blueprint.core - 1.6.1 | Bundle org.opendaylight.controller.sal-schema-service/1.5.3.SNAPSHOT is waiting for dependencies [(&(|(type=default)(!(type=*)))(objectClass=org.opendaylight.mdsal.dom.api.DOMSchemaService))]
2018-01-19 04:40:49,166 | INFO  | Event Dispatcher | BlueprintBundleTracker           | 194 - org.opendaylight.controller.blueprint - 0.6.3.SNAPSHOT | Creating blueprint container for bundle org.opendaylight.controller.netty-event-executor-config_0.6.3.SNAPSHOT [167] with paths [bundleentry://167.fwk1032986144/org/opendaylight/blueprint/netty-event-executor.xml]
2018-01-19 04:40:49,259 | INFO  | Thread-75        | BlueprintBundleTracker           | 194 - org.opendaylight.controller.blueprint - 0.6.3.SNAPSHOT | Blueprint container for bundle org.opendaylight.controller.netty-event-executor-config_0.6.3.SNAPSHOT [167] was successfully created
2018-01-19 04:40:49,259 | INFO  | Event Dispatcher | BlueprintBundleTracker           | 194 - org.opendaylight.controller.blueprint - 0.6.3.SNAPSHOT | Creating blueprint container for bundle org.opendaylight.controller.netty-threadgroup-config_0.6.3.SNAPSHOT [168] with paths [bundleentry://168.fwk1032986144/org/opendaylight/blueprint/netty-threadgroup.xml]
2018-01-19 04:40:49,267 | INFO  | config-pusher    | ConfigPusherImpl                 | 152 - org.opendaylight.controller.config-persister-impl - 0.6.3.SNAPSHOT | Pushing configuration snapshot 45-openflowjava-stats.xml(odl-openflowjava-protocol,odl-openflowjava-protocol)
2018-01-19 04:40:49,314 | INFO  | ntAdminThread #1 | BlueprintBundleTracker           | 194 - org.opendaylight.controller.blueprint - 0.6.3.SNAPSHOT | Blueprint container for bundle org.opendaylight.controller.netty-threadgroup-config_0.6.3.SNAPSHOT [168] was successfully created
2018-01-19 04:40:49,315 | INFO  | Event Dispatcher | BlueprintBundleTracker           | 194 - org.opendaylight.controller.blueprint - 0.6.3.SNAPSHOT | Creating blueprint container for bundle org.opendaylight.controller.netty-timer-config_0.6.3.SNAPSHOT [169] with paths [bundleentry://169.fwk1032986144/org/opendaylight/blueprint/netty-timer.xml]
2018-01-19 04:40:49,337 | INFO  | ntAdminThread #2 | BlueprintBundleTracker           | 194 - org.opendaylight.controller.blueprint - 0.6.3.SNAPSHOT | Blueprint container for bundle org.opendaylight.controller.netty-timer-config_0.6.3.SNAPSHOT [169] was successfully created
2018-01-19 04:40:49,421 | INFO  | Event Dispatcher | YangTextSchemaContextResolver    | 103 - org.opendaylight.yangtools.yang-parser-impl - 1.1.3.SNAPSHOT | Provided module name netty-threadgroup.yang does not match actual text threadgroup@2013-11-07.yang, corrected
2018-01-19 04:40:49,426 | INFO  | Event Dispatcher | YangTextSchemaContextResolver    | 103 - org.opendaylight.yangtools.yang-parser-impl - 1.1.3.SNAPSHOT | Provided module name cluster-singleton-service-impl-cfg.yang does not match actual text cluster-singleton-service-impl@2016-07-18.yang, corrected
2018-01-19 04:40:49,427 | INFO  | Event Dispatcher | YangTextSchemaContextResolver    | 103 - org.opendaylight.yangtools.yang-parser-impl - 1.1.3.SNAPSHOT | Provided module name cluster-singleton-service-spi-cfg.yang does not match actual text cluster-singleton-service-spi@2016-07-18.yang, corrected
2018-01-19 04:40:49,431 | INFO  | Event Dispatcher | YangTextSchemaContextResolver    | 103 - org.opendaylight.yangtools.yang-parser-impl - 1.1.3.SNAPSHOT | Provided module name opendaylight-binding-broker-impl.yang does not match actual text opendaylight-sal-binding-broker-impl@2013-10-28.yang, corrected
2018-01-19 04:40:49,435 | INFO  | Event Dispatcher | YangTextSchemaContextResolver    | 103 - org.opendaylight.yangtools.yang-parser-impl - 1.1.3.SNAPSHOT | Provided module name opendaylight-dom-broker-impl.yang does not match actual text opendaylight-sal-dom-broker-impl@2013-10-28.yang, corrected
2018-01-19 04:40:49,452 | INFO  | Event Dispatcher | YangTextSchemaContextResolver    | 103 - org.opendaylight.yangtools.yang-parser-impl - 1.1.3.SNAPSHOT | Provided module name odl-sal-cds-cfg.yang does not match actual text odl-concurrent-data-broker-cfg@2014-11-24.yang, corrected
2018-01-19 04:40:49,455 | INFO  | Event Dispatcher | YangTextSchemaContextResolver    | 103 - org.opendaylight.yangtools.yang-parser-impl - 1.1.3.SNAPSHOT | Provided module name cluster-admin-service.yang does not match actual text cluster-admin-provider@2015-10-13.yang, corrected
2018-01-19 04:40:49,473 | INFO  | Event Dispatcher | YangTextSchemaContextResolver    | 103 - org.opendaylight.yangtools.yang-parser-impl - 1.1.3.SNAPSHOT | Provided module name opendaylight-md-sal-remote.yang does not match actual text sal-remote@2014-01-14.yang, corrected
2018-01-19 04:40:49,592 | INFO  | Event Dispatcher | YangTextSchemaContextResolver    | 103 - org.opendaylight.yangtools.yang-parser-impl - 1.1.3.SNAPSHOT | Provided module name node-errors.yang does not match actual text node-error@2014-04-10.yang, corrected
2018-01-19 04:40:49,607 | INFO  | Event Dispatcher | YangTextSchemaContextResolver    | 103 - org.opendaylight.yangtools.yang-parser-impl - 1.1.3.SNAPSHOT | Provided module name openflow-plugin-cfg-impl.yang does not match actual text openflow-provider-impl@2014-03-26.yang, corrected
2018-01-19 04:40:49,607 | INFO  | Event Dispatcher | YangTextSchemaContextResolver    | 103 - org.opendaylight.yangtools.yang-parser-impl - 1.1.3.SNAPSHOT | Provided module name openflow-plugin-cfg.yang does not match actual text openflow-provider@2014-03-26.yang, corrected
2018-01-19 04:40:49,609 | INFO  | Event Dispatcher | YangTextSchemaContextResolver    | 103 - org.opendaylight.yangtools.yang-parser-impl - 1.1.3.SNAPSHOT | Provided module name openflow-plugin-impl.yang does not match actual text openflow-plugin-provider-impl@2015-03-27.yang, corrected
2018-01-19 04:40:49,626 | INFO  | Event Dispatcher | YangTextSchemaContextResolver    | 103 - org.opendaylight.yangtools.yang-parser-impl - 1.1.3.SNAPSHOT | Provided module name nicira-exension-cfg.yang does not match actual text nicira-extension@2014-07-11.yang, corrected
2018-01-19 04:40:49,627 | INFO  | Event Dispatcher | YangTextSchemaContextResolver    | 103 - org.opendaylight.yangtools.yang-parser-impl - 1.1.3.SNAPSHOT | Provided module name nicira-extension-cfg-impl.yang does not match actual text nicira-extension-impl@2014-07-11.yang, corrected
2018-01-19 04:40:49,670 | INFO  | Event Dispatcher | YangTextSchemaContextResolver    | 103 - org.opendaylight.yangtools.yang-parser-impl - 1.1.3.SNAPSHOT | Provided module name odl-interface-service-bindings.yang does not match actual text interface-service-bindings@2016-04-06.yang, corrected
2018-01-19 04:40:49,712 | INFO  | Event Dispatcher | YangTextSchemaContextResolver    | 103 - org.opendaylight.yangtools.yang-parser-impl - 1.1.3.SNAPSHOT | Provided module name dhcp.yang does not match actual text vpnservice-dhcp@2016-04-28.yang, corrected
2018-01-19 04:40:49,729 | INFO  | Event Dispatcher | YangTextSchemaContextResolver    | 103 - org.opendaylight.yangtools.yang-parser-impl - 1.1.3.SNAPSHOT | Provided module name cloud-servicechain-state.yang does not match actual text cloud-service-chain-state@2016-07-11.yang, corrected
2018-01-19 04:40:49,729 | INFO  | Event Dispatcher | YangTextSchemaContextResolver    | 103 - org.opendaylight.yangtools.yang-parser-impl - 1.1.3.SNAPSHOT | Provided module name qos-alert-config.yang does not match actual text qosalert-config@2017-03-01.yang, corrected
2018-01-19 04:40:49,731 | INFO  | Event Dispatcher | YangTextSchemaContextResolver    | 103 - org.opendaylight.yangtools.yang-parser-impl - 1.1.3.SNAPSHOT | Provided module name forwardingrules-manager-config.yang does not match actual text forwarding-rules-manager-config@2016-05-11.yang, corrected
2018-01-19 04:40:49,733 | INFO  | Event Dispatcher | YangTextSchemaContextResolver    | 103 - org.opendaylight.yangtools.yang-parser-impl - 1.1.3.SNAPSHOT | Provided module name vpnmanager-config.yang does not match actual text vpn-config@2016-11-30.yang, corrected
2018-01-19 04:40:49,734 | INFO  | Event Dispatcher | YangTextSchemaContextResolver    | 103 - org.opendaylight.yangtools.yang-parser-impl - 1.1.3.SNAPSHOT | Provided module name elanmanager-config.yang does not match actual text elan-config@2015-07-10.yang, corrected
2018-01-19 04:40:49,742 | INFO  | Event Dispatcher | BlueprintBundleTracker           | 194 - org.opendaylight.controller.blueprint - 0.6.3.SNAPSHOT | Creating blueprint container for bundle org.opendaylight.mdsal.eos-binding-adapter_2.2.3.SNAPSHOT [179] with paths [bundleentry://179.fwk1032986144/org/opendaylight/blueprint/eos-binding.xml]
2018-01-19 04:40:49,743 | INFO  | ntAdminThread #3 | BlueprintBundleTracker           | 194 - org.opendaylight.controller.blueprint - 0.6.3.SNAPSHOT | Blueprint container for bundle org.opendaylight.controller.sal-schema-service_1.5.3.SNAPSHOT [184] was successfully created
2018-01-19 04:40:49,745 | INFO  | Event Dispatcher | BlueprintContainerImpl           | 15 - org.apache.aries.blueprint.core - 1.6.1 | Bundle org.opendaylight.mdsal.eos-binding-adapter/2.2.3.SNAPSHOT is waiting for dependencies [(objectClass=org.opendaylight.mdsal.eos.dom.api.DOMEntityOwnershipService), (objectClass=org.opendaylight.mdsal.binding.dom.codec.api.BindingNormalizedNodeSerializer)]
2018-01-19 04:40:49,747 | INFO  | Event Dispatcher | BlueprintBundleTracker           | 194 - org.opendaylight.controller.blueprint - 0.6.3.SNAPSHOT | Creating blueprint container for bundle org.opendaylight.mdsal.singleton-dom-impl_2.2.3.SNAPSHOT [181] with paths [bundleentry://181.fwk1032986144/org/opendaylight/blueprint/dom-singleton.xml]
2018-01-19 04:40:49,748 | INFO  | Event Dispatcher | BlueprintContainerImpl           | 15 - org.apache.aries.blueprint.core - 1.6.1 | Bundle org.opendaylight.mdsal.singleton-dom-impl/2.2.3.SNAPSHOT is waiting for dependencies [(objectClass=org.opendaylight.mdsal.eos.dom.api.DOMEntityOwnershipService)]
2018-01-19 04:40:49,750 | INFO  | Event Dispatcher | BlueprintBundleTracker           | 194 - org.opendaylight.controller.blueprint - 0.6.3.SNAPSHOT | Creating blueprint container for bundle org.opendaylight.controller.sal-broker-impl_1.5.3.SNAPSHOT [185] with paths [bundleentry://185.fwk1032986144/org/opendaylight/blueprint/dom-broker.xml, bundleentry://185.fwk1032986144/org/opendaylight/blueprint/legacy-eos.xml]
2018-01-19 04:40:49,759 | INFO  | Event Dispatcher | BlueprintContainerImpl           | 15 - org.apache.aries.blueprint.core - 1.6.1 | Bundle org.opendaylight.controller.sal-broker-impl/1.5.3.SNAPSHOT is waiting for dependencies [(objectClass=org.opendaylight.mdsal.eos.dom.api.DOMEntityOwnershipService), (objectClass=org.opendaylight.controller.md.sal.dom.api.DOMDataBroker)]
2018-01-19 04:40:49,759 | INFO  | rint Extender: 3 | BlueprintContainerImpl           | 15 - org.apache.aries.blueprint.core - 1.6.1 | Bundle org.opendaylight.controller.sal-broker-impl/1.5.3.SNAPSHOT is waiting for dependencies [(objectClass=org.opendaylight.mdsal.eos.dom.api.DOMEntityOwnershipService), (objectClass=org.opendaylight.controller.md.sal.dom.api.DOMDataBroker)]
2018-01-19 04:40:49,761 | INFO  | Event Dispatcher | BlueprintBundleTracker           | 194 - org.opendaylight.controller.blueprint - 0.6.3.SNAPSHOT | Creating blueprint container for bundle org.opendaylight.controller.sal-binding-broker-impl_1.5.3.SNAPSHOT [187] with paths [bundleentry://187.fwk1032986144/org/opendaylight/blueprint/binding-broker.xml]
2018-01-19 04:40:49,767 | INFO  | Event Dispatcher | BlueprintContainerImpl           | 15 - org.apache.aries.blueprint.core - 1.6.1 | Bundle org.opendaylight.controller.sal-binding-broker-impl/1.5.3.SNAPSHOT is waiting for dependencies [(objectClass=org.opendaylight.controller.md.sal.dom.api.DOMRpcProviderService), (objectClass=org.opendaylight.controller.md.sal.dom.api.DOMNotificationService), (objectClass=org.opendaylight.controller.md.sal.dom.api.DOMDataBroker), (objectClass=org.opendaylight.controller.md.sal.dom.api.DOMMountPointService), (objectClass=org.opendaylight.controller.md.sal.dom.api.DOMRpcService), (objectClass=org.opendaylight.controller.md.sal.dom.api.DOMNotificationPublishService), (objectClass=org.opendaylight.controller.md.sal.dom.api.DOMDataBroker), (objectClass=org.opendaylight.controller.md.sal.dom.spi.DOMNotificationSubscriptionListenerRegistry)]
2018-01-19 04:40:49,814 | INFO  | Event Dispatcher | BlueprintBundleTracker           | 194 - org.opendaylight.controller.blueprint - 0.6.3.SNAPSHOT | Creating blueprint container for bundle org.opendaylight.controller.sal-remoterpc-connector_1.5.3.SNAPSHOT [221] with paths [bundleentry://221.fwk1032986144/org/opendaylight/blueprint/remote-rpc.xml]
2018-01-19 04:40:49,818 | INFO  | Event Dispatcher | BlueprintContainerImpl           | 15 - org.apache.aries.blueprint.core - 1.6.1 | Bundle org.opendaylight.controller.sal-remoterpc-connector/1.5.3.SNAPSHOT is waiting for dependencies [(objectClass=org.opendaylight.controller.md.sal.dom.api.DOMRpcProviderService), (objectClass=org.opendaylight.controller.cluster.ActorSystemProvider), (objectClass=org.opendaylight.controller.md.sal.dom.api.DOMRpcService)]
2018-01-19 04:40:49,823 | INFO  | Event Dispatcher | BlueprintBundleTracker           | 194 - org.opendaylight.controller.blueprint - 0.6.3.SNAPSHOT | Creating blueprint container for bundle org.opendaylight.controller.sal-distributed-datastore_1.5.3.SNAPSHOT [225] with paths [bundleentry://225.fwk1032986144/org/opendaylight/blueprint/clustered-datastore.xml]
2018-01-19 04:40:49,835 | INFO  | Event Dispatcher | ActorSystemProviderImpl          | 225 - org.opendaylight.controller.sal-distributed-datastore - 1.5.3.SNAPSHOT | Creating new ActorSystem
2018-01-19 04:40:50,340 | INFO  | ult-dispatcher-3 | Slf4jLogger                      | 200 - com.typesafe.akka.slf4j - 2.4.18 | Slf4jLogger started
2018-01-19 04:40:50,419 | INFO  | ult-dispatcher-3 | Remoting                         | 200 - com.typesafe.akka.slf4j - 2.4.18 | Starting remoting
2018-01-19 04:40:50,542 | INFO  | ult-dispatcher-3 | Remoting                         | 200 - com.typesafe.akka.slf4j - 2.4.18 | Remoting started; listening on addresses :[akka.tcp://opendaylight-cluster-data@192.168.11.12:2550]
2018-01-19 04:40:50,552 | INFO  | ult-dispatcher-3 | kka://opendaylight-cluster-data) | 200 - com.typesafe.akka.slf4j - 2.4.18 | Cluster Node [akka.tcp://opendaylight-cluster-data@192.168.11.12:2550] - Starting up...
2018-01-19 04:40:50,576 | INFO  | ult-dispatcher-3 | kka://opendaylight-cluster-data) | 200 - com.typesafe.akka.slf4j - 2.4.18 | Cluster Node [akka.tcp://opendaylight-cluster-data@192.168.11.12:2550] - Registered cluster JMX MBean [akka:type=Cluster]
2018-01-19 04:40:50,576 | INFO  | ult-dispatcher-3 | kka://opendaylight-cluster-data) | 200 - com.typesafe.akka.slf4j - 2.4.18 | Cluster Node [akka.tcp://opendaylight-cluster-data@192.168.11.12:2550] - Started up successfully
2018-01-19 04:40:50,583 | INFO  | ult-dispatcher-4 | kka://opendaylight-cluster-data) | 200 - com.typesafe.akka.slf4j - 2.4.18 | Cluster Node [akka.tcp://opendaylight-cluster-data@192.168.11.12:2550] - Metrics will be retreived from MBeans, and may be incorrect on some platforms. To increase metric accuracy add the 'sigar.jar' to the classpath and the appropriate platform-specific native libary to 'java.library.path'. Reason: java.lang.ClassNotFoundException: org.hyperic.sigar.Sigar
2018-01-19 04:40:50,584 | INFO  | lt-dispatcher-19 | kka://opendaylight-cluster-data) | 200 - com.typesafe.akka.slf4j - 2.4.18 | Cluster Node [akka.tcp://opendaylight-cluster-data@192.168.11.12:2550] - Metrics collection has started successfully
2018-01-19 04:40:50,603 | INFO  | Event Dispatcher | DistributedDataStoreFactory      | 225 - org.opendaylight.controller.sal-distributed-datastore - 1.5.3.SNAPSHOT | Create data store instance of type : config
2018-01-19 04:40:50,621 | INFO  | Event Dispatcher | FileModuleShardConfigProvider    | 225 - org.opendaylight.controller.sal-distributed-datastore - 1.5.3.SNAPSHOT | module shards config file exists - reading config from it
2018-01-19 04:40:50,622 | INFO  | Event Dispatcher | FileModuleShardConfigProvider    | 225 - org.opendaylight.controller.sal-distributed-datastore - 1.5.3.SNAPSHOT | modules config file exists - reading config from it
2018-01-19 04:40:50,631 | INFO  | Event Dispatcher | AbstractDataStore                | 225 - org.opendaylight.controller.sal-distributed-datastore - 1.5.3.SNAPSHOT | Creating ShardManager : shardmanager-config
2018-01-19 04:40:50,638 | WARN  | ult-dispatcher-3 | NettyTransport                   | 200 - com.typesafe.akka.slf4j - 2.4.18 | Remote connection to null failed with java.net.ConnectException: Connection refused: /192.168.11.14:2550
2018-01-19 04:40:50,641 | WARN  | ult-dispatcher-3 | ReliableDeliverySupervisor       | 200 - com.typesafe.akka.slf4j - 2.4.18 | Association with remote system [akka.tcp://opendaylight-cluster-data@192.168.11.14:2550] has failed, address is now gated for [5000] ms. Reason: [Association failed with [akka.tcp://opendaylight-cluster-data@192.168.11.14:2550]] Caused by: [Connection refused: /192.168.11.14:2550]
2018-01-19 04:40:50,649 | INFO  | lt-dispatcher-19 | rovider$RemoteDeadLetterActorRef | 200 - com.typesafe.akka.slf4j - 2.4.18 | Message [akka.cluster.InternalClusterAction$InitJoin$] from Actor[akka://opendaylight-cluster-data/system/cluster/core/daemon/joinSeedNodeProcess-1#-1668054337] to Actor[akka://opendaylight-cluster-data/deadLetters] was not delivered. [1] dead letters encountered. This logging can be turned off or adjusted with configuration settings 'akka.log-dead-letters' and 'akka.log-dead-letters-during-shutdown'.
2018-01-19 04:40:50,691 | INFO  | rd-dispatcher-25 | ShardManager                     | 225 - org.opendaylight.controller.sal-distributed-datastore - 1.5.3.SNAPSHOT | Starting ShardManager shard-manager-config
2018-01-19 04:40:50,848 | INFO  | lt-dispatcher-19 | kka://opendaylight-cluster-data) | 200 - com.typesafe.akka.slf4j - 2.4.18 | Cluster Node [akka.tcp://opendaylight-cluster-data@192.168.11.12:2550] - Welcome from [akka.tcp://opendaylight-cluster-data@192.168.11.10:2550]
2018-01-19 04:40:52,165 | INFO  | ult-dispatcher-4 | EmptyLocalActorRef               | 200 - com.typesafe.akka.slf4j - 2.4.18 | Message [org.opendaylight.controller.cluster.raft.messages.RequestVote] from Actor[akka.tcp://opendaylight-cluster-data@192.168.11.10:2550/user/shardmanager-config/host-192-168-11-10-shard-default-config#-845231601] to Actor[akka://opendaylight-cluster-data/user/shardmanager-config/host-192-168-11-12-shard-default-config] was not delivered. [2] dead letters encountered. This logging can be turned off or adjusted with configuration settings 'akka.log-dead-letters' and 'akka.log-dead-letters-during-shutdown'.
2018-01-19 04:40:52,165 | INFO  | ult-dispatcher-4 | EmptyLocalActorRef               | 200 - com.typesafe.akka.slf4j - 2.4.18 | Message [org.opendaylight.controller.cluster.raft.messages.RequestVote] from Actor[akka.tcp://opendaylight-cluster-data@192.168.11.10:2550/user/shardmanager-config/host-192-168-11-10-shard-toaster-config#1744596263] to Actor[akka://opendaylight-cluster-data/user/shardmanager-config/host-192-168-11-12-shard-toaster-config] was not delivered. [3] dead letters encountered. This logging can be turned off or adjusted with configuration settings 'akka.log-dead-letters' and 'akka.log-dead-letters-during-shutdown'.
2018-01-19 04:40:52,172 | INFO  | ult-dispatcher-4 | EmptyLocalActorRef               | 200 - com.typesafe.akka.slf4j - 2.4.18 | Message [org.opendaylight.controller.cluster.raft.messages.RequestVote] from Actor[akka.tcp://opendaylight-cluster-data@192.168.11.10:2550/user/shardmanager-config/host-192-168-11-10-shard-inventory-config#1411880449] to Actor[akka://opendaylight-cluster-data/user/shardmanager-config/host-192-168-11-12-shard-inventory-config] was not delivered. [4] dead letters encountered. This logging can be turned off or adjusted with configuration settings 'akka.log-dead-letters' and 'akka.log-dead-letters-during-shutdown'.
2018-01-19 04:40:52,232 | INFO  | ult-dispatcher-4 | EmptyLocalActorRef               | 200 - com.typesafe.akka.slf4j - 2.4.18 | Message [org.opendaylight.controller.cluster.raft.messages.RequestVote] from Actor[akka.tcp://opendaylight-cluster-data@192.168.11.10:2550/user/shardmanager-config/host-192-168-11-10-shard-topology-config#-938507773] to Actor[akka://opendaylight-cluster-data/user/shardmanager-config/host-192-168-11-12-shard-topology-config] was not delivered. [5] dead letters encountered. This logging can be turned off or adjusted with configuration settings 'akka.log-dead-letters' and 'akka.log-dead-letters-during-shutdown'.
2018-01-19 04:40:52,637 | INFO  | rd-dispatcher-28 | ShardManager                     | 225 - org.opendaylight.controller.sal-distributed-datastore - 1.5.3.SNAPSHOT | Recovery complete : shard-manager-config
2018-01-19 04:40:52,655 | INFO  | rd-dispatcher-28 | ShardManager                     | 225 - org.opendaylight.controller.sal-distributed-datastore - 1.5.3.SNAPSHOT | shard-manager-config: Received MemberUp: memberName: MemberName{name=host-192-168-11-10}, address: akka.tcp://opendaylight-cluster-data@192.168.11.10:2550
2018-01-19 04:40:52,655 | INFO  | rd-dispatcher-28 | ShardInformation                 | 225 - org.opendaylight.controller.sal-distributed-datastore - 1.5.3.SNAPSHOT | updatePeerAddress for peer host-192-168-11-10-shard-default-config with address akka.tcp://opendaylight-cluster-data@192.168.11.10:2550/user/shardmanager-config/host-192-168-11-10-shard-default-config
2018-01-19 04:40:52,655 | INFO  | rd-dispatcher-28 | ShardInformation                 | 225 - org.opendaylight.controller.sal-distributed-datastore - 1.5.3.SNAPSHOT | updatePeerAddress for peer host-192-168-11-10-shard-topology-config with address akka.tcp://opendaylight-cluster-data@192.168.11.10:2550/user/shardmanager-config/host-192-168-11-10-shard-topology-config
2018-01-19 04:40:52,655 | INFO  | rd-dispatcher-28 | ShardInformation                 | 225 - org.opendaylight.controller.sal-distributed-datastore - 1.5.3.SNAPSHOT | updatePeerAddress for peer host-192-168-11-10-shard-inventory-config with address akka.tcp://opendaylight-cluster-data@192.168.11.10:2550/user/shardmanager-config/host-192-168-11-10-shard-inventory-config
